Region,Country,Year,"Notification to the worker to be dismissed","Pay in lieu of notice","Notification to the public administration","Notification to workers' representatives","Approval by public administration or judicial bodies","Approval by workers' representatives","General remarks"
"Arab States","United Arab Emirates",2013,written,Y,N,N,N,N,"Art. 117 FLLR provides that either party may terminate a contract of unlimited duration for a valid reason at any time provided that written notice is given to the other party at least 30 days prior to termination. <br/>In respect of employees paid on a daily-basis, the period of notice is as follows:<br/>- one week in the employee has worked for more than six months but less than one year;<br/>- two weeks if the employee has worked for at least one year;<br/>- one month if the employee has worked for at least five years. <br/>"
Asia,Afghanistan,2019,"no specific form required",N,Y,N,N,N,
Americas,"Antigua and Barbuda",2018,"no specific form required",Y,N,N,N,N,"See sec. C9(3) LC.<br/>- The period of said advance notice shall be at least equivalent to <b>the interval of time between the affected employee&apos;s paydays</b>. It shall <b>not exceed 30 days</b> unless a longer notice period is stipulated in an employment contract.<br/>- With respect to an employee serving a probation period, an employer must give at least 24 hours advance notice of his intention to terminate that person&apos;s employment.<br/>"
Europe,Armenia,2018,written,Y,N,N,N,N,"Article 115 LC as amended by Law No. 117-N of 24 July 2010 reads as follows:<br/>“(...) the employer is obliged to notify in written form <br/>the worker who has worked up to one year not later than 14 days prior, <br/>the worker having worked from a year to five years- 35 days prior,<br/>the worker having worked from 5 to 10 years - 42 days prior,<br/>the worker having worked up to 15 years- 49 days prior, <br/>the worker having worked for more than 15 years - 60 days prior. (...)&quot;"
Africa,Angola,2019,written,Y,Y,N,N,N,"Art. 212 GLA: The period of notice for individual economic dismissals is 30 days.<br/><br/>No notice is required for disciplinary dismissals.<br/>"
Americas,Argentina,2019,written,Y,N,N,N,N,"Art. 231 (b) LCL: establishes various statutory notice periods<br/><br/>According to article 231 LCL this is the compulsory minimum notification period, but the parties can agree on a longer one.<br/><br/>Fixed term contracts must follow article 94 LCT, according to which parties need to inform the other party of the end of the contract between 1 and 2 months before the agreed deadline, except if the contract is for the duration of less than one 1 month. If the advance notice is not observed, it will be presumed the conversion of the contract to an indeterminate one, except if an explicit renovation of the contract has been agreed.<br/><br/>Please note, however, that these rules do not apply to small and medium sized companies which are defined as those companies which up to 40 employees and a maximum annual turnover of such an amount set out by a special monitory commission (Comisión Especial de Seguimiento) for each activity or sector (art. 83 SMEL).<br/>In those companies, the employer is only required to give an advance notice of one month to the employee, regardless of the length of service (art. 95 SMEL).<br/>"
Europe,Austria,2019,"no specific form required",N,N,Y,N,N,"- White-collar workers:<br/>Sec. 20 (2) White-collar Employees Act:<br/>In the absence of an individual agreement that is more favourable for the employee , the notice period is 6 weeks which increases with the length of service (2 months after 2 years of service,  3 months after 5 years,  4 months after 15 years and 5 months after 25 years).  <br/><br/>- Blue-collar workers:<br/>The notice period is 14 days in the absence of any other arrangement: sec. 77 Commerce Regulations (for industrial workers).<br/><br/>- See also: sec. 1159 and 1159b CC: minimum 14-day notice unless the employee is paid on a daily basis or by piece-rate, in which case only one day&apos;s notice needs to be given."
Asia,Australia,2019,written,Y,N,N,N,N,"Notice of termination is - together with other rights and entitlements set out in part 2.2 of the FWA - part of the new <b>&quot;National Employment Standards&quot;, in force since 1st January 2010.</b><br/>s117(3) establishes the statutory minimum notice periods which varies according to the length of service and the age, as follows:<br/>- If the employee has been continuously employed for not more than 1 year, the notice period shall be 1 week;<br/>- If the length of service is more than 1 year but not more than 3 years, the notice period shall be 2 weeks;<br/>- If the length of service is more than 3 year but not more than 5 years, the notice period shall be 3 weeks;<br/>- If the length of service is more than 5 years, the notice period shall be 4 weeks.<br/><br/>In addition, the notice period shall be increased by 1 week if the employee is over 45 years old and has completed at least 2 years of continuous service with the employer at the end of the day the notice is given.<br/><br/>However, according to s123 FWA, the provisions on notice of termination do not apply to the following employees:<br/>- Employees not covered by Division 11 of the FWA (both notice of termination and redundancy pay):<br/>&quot;(1) (a) an employee employed for a specified period of time, for a specified task, or for the duration of a specified season;<br/>(b) an employee whose employment is terminated because of serious misconduct;<br/>(c) a casual employee;<br/>(d) an employee (other than an apprentice) to whom a training arrangement applies and whose employment is for a specified period of time or is, for any reason, limited to the duration of the training arrangement;<br/>(e) an employee prescribed by the regulations as an employee to whom this Division does not apply.<br/>(2) Paragraph (1)(a) does not prevent this Division from applying to an employee if a substantial reason for employing the employee as described in that paragraph was to avoid the application of this Division&quot;<br/>- Other employees not covered by notice of termination provisions:<br/>&quot;(3) (b) a daily hire employee working in the building and construction industry (including working in connection with the erection, repair, renovation, maintenance, ornamentation or demolition of buildings or structures); or<br/>(c) a daily hire employee working in the meat industry in connection with the slaughter of livestock; or <br/>(d) a weekly hire employee working in connection with the meat industry and whose termination of employment is determined solely by seasonal factors; or<br/>(e) an employee prescribed by the regulations as an employee to whom that Subdivision does not apply.&quot;"
Europe,Azerbaijan,2019,written,Y,N,N,N,N,"Art. 77 (1) LC<br/>Amendments were made on this in 2017."
Asia,Bangladesh,2019,written,Y,N,N,N,N,"- In the event of a retrenchment, the employer shall give the employee one month&apos;s notice (sec. 20(1) LA).<br/><br/>- In the event of termination without cause (sec. 26 LA), the employer shall give the employee the following notice period:<br/><br/>1)  For permanent workers: <br/>- 120 days&apos; notice if the worker is paid on a monthly basis; <br/>- 60 days&apos; notice to other workers.<br/><br/>2) For temporary workers (when termination is not due to the completion, cessation, abolition or discontinuance of the temporary work for which he was appointed):<br/>- 30 days&apos; notice if the temporary worker is paid on a monthly basis;<br/>- 14 days&apos; notice to other temporary workers.<br/><br/>- No statutory notice requirements for conduct and capacity-related dismissals (referred to respectively in the LA as &apos;dismissal&apos; and &apos;discharge&apos;), except for dismissals based on unjustified absence from the work place. (In case a worker remains absent from work without notice for at least 10 days, the employer shall serve him or her a notice to explain the reasons for the absence. If the worker does not submit a written justification for the absence or returns to work within 17 days, he or she is considered terminated, sec. 27(3A))."
Europe,Belgium,2019,written,Y,N,N,N,N,"Art. 37/2 § 1 ECA: <br/>- 2 weeks in case of a tenure of less than 3 months<br/>- 4 weeks in case of a tenure between 3 and less than 6 months <br/>- 6 weeks in case of a tenure between 6 and less than 9 months<br/>- 7 weeks in case of a tenure between 9 and less than 12 months<br/>- 8 weeks in case of a tenure between 12 and less than 15 months<br/>- 9 weeks in case of a tenure between 15 and less than 18 months<br/>- 10 weeks in case of a tenure between 18 and less than 21 months<br/>- 11 weeks in case of a tenure between 21 and less than 24 months<br/>- 12 weeks in case of a tenure between 2 and less than 3 years<br/>- 13 weeks in case of a tenure between 3 and less than 4 years<br/>- 15 weeks in case of a tenure between 4 and less than 5 years<br/><br/>- Starting from 5 years of tenure, the notice period is increased by 3 weeks upon commencement of every additional year;<br/>- Starting from 20 years of tenure, the notice period is increased by 2 weeks upon commencement of every additional year;<br/>- Starting from 21 years of tenure, the notice period is increased by 1 week upon commencement of every additional year.<br/><br/><br/>Art. 37 (2), para. 3.: The worker, the contract of whom was terminated by the employer with a notice period, may if he/she has has found another job, terminate the employment contract with reduced notice."
Africa,"Burkina Faso",2019,written,Y,N,N,N,N,"Art. 66 LC and 30 of the Inter-occupational Collective Agreement:<br/>The notice period varies according to the category of workers, as follows:<br/>* 1 month for workers paid on a monthly basis who are not executives, supervisors, technicians <br/>* 8 days for workers paid on a hourly or daily basis<br/>* 3 months for executives, supervisors, engineers, technicians and similar workers."
Europe,Bulgaria,2019,written,Y,N,N,N,N,"Art. 328 (1) together with art. 326 (2) LC<br/>* The notice period for termination of a contract of unlimited duration must be 30 days, unless a longer period has been agreed by the parties, but not longer than 3 months.<br/>*Note: the LC also provides that notice period for FTC shall amount to 3 months, but not more than the remaining period of the contract."
Americas,Bolivia,2019,"no specific form required",Y,N,N,N,N,"Art. 12 of the LC provides for the following notice periods: <br/><br/>1. Labour contract with workers (”obreros&quot;):<br/>a.) 1 week of advance notice for contracts longer than one month;<br/>b.) 15 days of advance notice for contracts longer than six months;<br/>c.) 30 days of advance notice period for contracts longer than  one year.<br/><br/>2. Labour contracts with employees (&quot;empleados&quot;) require a notice period of 90 days if the contract has been consecutively longer than  3 months.<br/><br/>Note: the difference between “worker” and “employee” can be found in Article 2 of the Labour Code; the difference is based on the nature of the tasks for which they are contracted. <br/>"
Americas,Brazil,2019,"no specific form required",Y,N,N,N,N,"According to art 487 of the CLL, a party who wishes to cancel an employment contract of an indefinite duration without a just motive (&quot;sem justo motivo&quot;) shall give notice to the other party of his or her intention as follows:<br/> * eight days in advance if wages are paid weekly or at shorter intervals;<br/>* thirty days in advance if wages are paid fortnightly or monthly, or if the employee&apos;s length of service in the undertaking exceeds 12 months.<br/><br/>According to Law No. 12.506, 11 October 2011, Article 1. Single paragraph. &quot;The prior notice provided for in this article will be added 3 (three) days per year of service provided in the same company, up to a maximum of 60 (sixty) days, making a total of up to 90 (ninety) days.&quot;<br/><br/>Note that the 8 days&apos; notice requirement for weekly-paid workers might not be valid anymore since the adoption of the 1988 Constitution as art. 7 XXI of the Constitution provides for &quot;a right to notice of dismissal in proportion to the length of service of at least thirty days, as provided by law&quot;."
Africa,Botswana,2018,written,Y,Y,N,N,N,"Sec. 18 EA. Termination of contracts of employment for unspecified periods of time <br/>&quot;(...) (2) Notwithstanding anything to the contrary contained in the contract of employment, the minimum length of any notice referred to in subsection (1)(b) shall-<br/>(a) where the wages are payable in respect of any period exceeding a day but less than a week, be one day; or<br/>(b) where the wages are payable in respect of any period not less than a week, be equal in length to the period:<br/> Provided that-<br/> (i) where an employee whose wages are payable in respect of any period not less than a week but less than two weeks have been in continuous employment for two or more but less than five years, the minimum length of notice shall be two weeks;<br/> (ii) where an employee whose wages are payable in respect of any period not less than a week but less than a month has been in continuous employment for five or more but less than 10 years, the minimum length of notice shall be one month; or<br/> (iii) where an employee whose wages are payable in respect of any period exceeding a day has been in continuous employment for 10 or more years, the minimum length of notice shall be six weeks.<br/>(3) Notwithstanding subsection (2), where the contract of employment provides for a minimum length of any notice such as is referred to in subsection (1)(b) which is longer than the appropriate minimum length prescribed by subsection (2), the minimum length of any such notice shall be that for which the contract of employment provides.<br/>(4) Nothing in this section shall prohibit either party  to a contract of employment from waiving his entitlement to notice in any particular case. (...)&quot;"
Americas,"Canada (Federal only)",2012,written,Y,N,N,N,N,"Sec. 230 CLC: An employer who dismisses a worker who has worked continuously for at least three consecutive months is obliged to give the worker notice of termination in writing at least two weeks in advance, or to pay compensation in lieu of notice except when the employee is dismissed for just cause (summary dismissal) (sec. 230, CLC).<br/>"
Africa,"Congo, Democratic Republic",2019,written,Y,Y,N,N,N,"Under the LC, the statutory minimum notice period is 14 days, increased by 7 days for each year of service (Art. 64).<br/>However, the Ministerial Order no 12/CAB.MIN/TPS/117/2005 dated 26 October 2005 sets out notice periods which vary according to the category of workers concerned.<br/>    - For workers belonging to categories 1 to 5 (ranging from unskilled to highly skilled workers), the notice period is the same as the one set out in art. 64 LC (minimum 14 days, increased by 7 days for each completed year of service) (Art. 6 MO no 12).<br/>    - For first-line supervisors (&quot;agents de maîtrise&quot;), the notice period is minimum 1 month, increased by 9 days for each completed year of service (Art. 7 MO no 12). <br/>    - For managerial positions (&quot;cadre de direction et cadre de collaboration&quot;), the notice period is minimum 3 months, increased by 16 dyas for each completed year of service (Art. 8)<br/>[Note for the purpose of the calculation 1 month was considered as 30 days]."
Africa,"Central African Republic",2019,written,Y,N,N,N,N,"Art. 148 LC: <br/>The duration of the notice period varies according to the worker&apos;s category as follows:<br/>- 8 days for workers paid on a hourly, daily, weekly, fortnightly or piece rate basis;<br/>- 1 month for workers paid on a monthly basis;<br/>- 2 months for first-line supervisors (&quot;agents de maîtrise&quot;) and similar positions;<br/>- 3 months for managerial positions (&quot;cadres&quot;)."
Europe,Switzerland,2019,written,N,N,N,N,N,"1) For ordinary dismissals: <br/>According to art. 335c CO, the general rule on the notice period is the following:<br/>*1 month during the first year of service;<br/>*2 months between 2 and 9 years of service;<br/>*3 months over 9 years of service.<br/><br/>These timeframes can be modified by written agreement, collective agreement but shall not be less than 1 month.<br/>Exceptions to this rule are permitted only during the first year of service and if set by a collective agreement (art. 335c (2) CO).<br/><br/>2) Specific rules apply to FTC:<br/>No notice period is prescribed except for FTC concluded for up to 10 years (art. 334 (1) CO).<br/>For FTC concluded for more than 10 years, a notice period of 6 months should be respected by either party (art. 334 (2) CO)."
Africa,"Côte d'Ivoire",2019,written,Y,N,N,N,N,"L&apos;article 1 du Décret No. 96-200 établit ce qui suit:<br/>Sous réserve de dispositions plus favorables prévues par convention collective ou contrat de travail, la durée du préavis visé à l’article (...) du Code du Travail est fixée pour l’ensemble des travailleurs comme suit: <br/>1) Travailleurs payés à l’heure, à la journée, à la semaine ou à la quinzaine et classés dans les cinq premières catégories :<br/>• 8 jours, jusqu’à 6 mois d’ancienneté dans l’entreprise ;<br/>• 15 jours, de 6 mois à 1 an d’ancienneté dans l’entreprise ;<br/>• 1 mois, de 1 an à 6 ans d’ancienneté dans l’entreprise ;<br/>• 2 mois, de 6 ans à 11 ans d’ancienneté dans l’entreprise ;<br/>• 3 mois, de 11 ans à 16 ans d’ancienneté dans l’entreprise<br/>• 4 mois, au-delà de 16 ans d’ancienneté dans l’entreprise ;<br/><br/>2) Travailleurs payés au mois et classés dans les cinq premières catégories :<br/>• 1 mois, jusqu’à 6 ans d’ancienneté dans l’entreprise ;<br/>• 2 mois, de 6 ans à 11 ans d’ancienneté dans l’entreprise ;<br/>• 3 mois, de 11 ans à 16 ans d’ancienneté dans l’entreprise ;<br/>• 4 mois, au-delà de 16 ans d’ancienneté dans l’entreprise.<br/><br/>3) Travailleurs classés en 6ème catégorie et au-delà :<br/>• 3 mois, jusqu’à 16 ans d’ancienneté dans l’entreprise<br/>• 4 mois, au-delà de 16 ans d’ancienneté dans l’entreprise ;<br/><br/>4) Travailleurs de toutes catégories frappés d’une incapacité permanente partielle estimée à plus de 40 %.<br/><br/>Délai normal de préavis jusqu’à 6 mois d’ancienneté dans l’entreprise;<br/>Deux fois le délai normal de préavis après 6 mois d’ancienneté dans l’entreprise. <br/>_________________________<br/>In English:<br/>Art. 1 Decree N°96-200, 7 March 1996 reads as follows:<br/><br/>1) Monthly-paid workers belonging to categories 1 to 5, the length of the notice period is:<br/>- up to 6 years of service: 1 month;<br/>- 6 to 11 years of service: 2 months;<br/>- 11 to 16 years of service: 3 months;<br/>- above 16 years of service: 4 months.<br/><br/>2) Monthly-paid workers belonging to categories 5 to 10:<br/>- up to 16 years of service: 3 months;<br/>- above 16 years of service: 4 months.<br/><br/>3) Workers paid on a hourly, daily, weekly and fortnightly basis:<br/>- up to 6 months of service: 8 days;<br/>- between 6 months and 1 year of service: 15 days;<br/>- 1 to 6 years of service: 1 month;<br/>- 6 to 11 years of service: 2 months;<br/>- 11 to 16 years of service: 3 months;<br/>- above 16 years of service: 4 months.<br/><br/>Notice period is doubled for workers having at least 6 months of service and suffering from permanent partial disabilities (over 40%)."
Americas,Chile,2019,written,Y,Y,N,N,N,"-  Dismissal without cause (desahucio) of persons in positions of trust, representatives or certain categories of domestic workers (&quot;trabajador de casa particular&quot;) must be carried out in writing, 30 days in advance except if the employer pays the worker cash compensation equivalent to the last monthly remuneration earned.  Copy of the notice shall be sent to the relevant labour inspectorate (art. 161 LC)<br/>- Dismissal based on the requirements of the undertaking: the worker must be given notice, copied to the relevant inspectorate, at least 30 days in advance (art. 162 LC).<br/>- If the employee is dismissed for conduct-related reasons as listed in art. 160 LC then notice must be sent promptly after the occurrence of the conduct."
Africa,Cameroon,2019,written,Y,N,N,N,N,"Art. 34 LC<br/><br/>Art. 1 of the Order No. 15 of 1993.<br/>The notice period varies according to the professional category to which the worker belongs and the length of service.<br/><br/>* Categories I to VI and domestic workers:<br/>- less than one year of service: 15 days;<br/>- 1 to 5 years of service: 1 month;<br/>- more than 5 years of service: 2 months.<br/><br/>* Categories VII to IX:<br/>- less than one year of service: 1 month;<br/>- 1 to 5 years of service: 2 months;<br/>- more than 5 years of service: 3 months.<br/><br/>* Categories X to XII:<br/>- less than one year of service: 1 month;<br/>- 1 to 5 years of service: 3 months;<br/>- more than 5 years of service: 4 months.<br/>"
Asia,China,2017,written,Y,N,Y,N,N,"Art. 40 ECL: The notice period shall be 30 days regardless of the job tenure."
Americas,Colombia,2019,"no specific form required",N,N,N,N,N,"There is no statutory provision concerning notice periods. However, a prior 15 or 30 day notice is required only in certain specific situations of dismissal with justified cause related to employee´ misconduct or low performance.<br/>According article 63, concerning termination with prior notice, there are just causes for terminating, unilaterally, the employment contract, with prior notice given in writing to the other party, in advance at least equal to the period that regulates the payment of wages, or through the payment of wages corresponding to such period: A) On the part of the employer:<br/><br/>1. The fully proven ineptitude of the worker to provide the agreed service;<br/>2. The systematic non-execution, without valid reasons, by the worker, of the conventional or legal obligations.<br/>3. Any habitual vice of the worker that disturbs the discipline of the establishment.<br/>4. The systematic reluctance of the worker to accept the preventive, prophylactic or curative measures prescribed by the employer&apos;s doctor or by the authorities to avoid illness or accidents;<br/>5. The contagious or chronic illness of the worker, which does not have the character of a professional, and whose cure, according to medical opinion, is not probable before six (6) months, as well as any other illness or injury that qualifies for work due to more than said period; but the dismissal for this cause does not exempt the employer from the legal and conventional benefits and compensation derived from the illness, and<br/>7. The others that have been foreseen, with this modality, in the contract, pact or collective agreement, arbitration ruling or regulation.<br/>"
Americas,"Costa Rica",2019,"no specific form required",Y,N,N,N,N,"According to article 28 of Labour Code, in case of dismissals without valid grounds in open-end contracts, the worker should be given a prior notice, if the employment contract lasts at least 3 months. <br/>On the other hand, the employer is not obliged to provide prior notice in case the dismissal is due to disciplinary reasons. The employer is also not obligated to provide prior notice in fixed term contracts, unless the contract is being terminated before the term or the conclusion of the work, provided that the period of one year has not been exceeded."
Americas,Cuba,2019,"no specific form required",N,N,N,N,N,
Europe,Cyprus,2019,written,Y,N,N,N,N,"Articles 9 of TEA.<br/>Notice to be given to the employee (except in cases giving rise to summary dismissal) is established according to the length of service, as follows:<br/><br/>9.-(1) On or after the minimum period of notice given by the employer to the employee shall be as follows:<br/>(a) where the employee has been employed continuously for 26 or more weeks but less than 52, a period of one week;<br/>(b) where the employee has been employed continuously for 52 or more weeks but less than one hundred and four, a period of two weeks;<br/>(c) where the employee has been employed continuously for a hundred and four-and-a-half weeks but less than one hundred and fifty-six, a period of four weeks;<br/>(d) where the employee has been employed continuously for a hundred and fifty-a-week but less than two hundred and eight, a period of five weeks;<br/>(e) where the employee has been continuously employed for two hundred eight weeks or more but less than two hundred and fifty-nine weeks, a period of six weeks;<br/>(f) where the employee has been continuously employed for two hundred and sixty weeks or more but less than three hundred and eleven weeks, a period of seven weeks;<br/>(g) where the employee has been continuously employed for three hundred and twelve weeks or more, a period of eight weeks.<br/>"
Europe,Czechia,2019,written,N,N,Y,N,N,"According to the Sec. 51 LC &quot;The notice shall be at least 2 months&quot;.However with the amendments which came into force in 2012 one exception to the above mentioned rule has been added. Section 51.a LC now states: &quot;Where notice has been given by an employee in connection with transfer of rights and obligations arising from the labour relations, it shall apply that his employment relationship will latest come to an end either on the day preceding the date when the transfer of the said rights and obligations takes effect or at the date when the transfer becomes effective.&quot;<br/>No reference to the length of service."
Europe,Germany,2017,written,N,N,Y,N,N,"Sec. 622 CC (applicable, unlike the PADA, to all cases of ordinary dismissals notwithstanding the size of the undertaking).<br/>The  notice period should be at least 4 weeks and increases according to the length of service as follows:<br/>* 1 month, for at least 2 years of service;<br/>* 2 months, for at least 5 years of service;<br/>* 3 months, for at least 8 years of service;<br/>* 4 months, for at least 10 years of service;<br/>* 5 months, for at least 12 years of service;<br/>* 6 months, for at least 15 years of service;<br/>* 7 months, for at least 20 years of service. <br/><br/>(Note: during the probationary period (maximum 6 months), the notice period should be 2 weeks)."
Europe,Denmark,2017,written,N,N,N,N,N,"Sec. 2 (2) ESEA. The notice period shall be:<br/>* 1 month during the first 6 months&apos; employment;<br/>* 3 months after 6 months&apos; employment<br/>* increased by one month for every three years of service, subject to a maximum of 6 months."
Africa,Algeria,2019,written,Y,N,N,N,N,"The LRA does not specify the duration of the notice period. <br/>Art. 73-5 LRA provides that any employee who did not commit an act of serious misconduct is entitled to a notice period (délai-congé) whose duration must be established in collective agreements.<br/>However, the Collective Framework Agreements of 2006 provides for notice periods requirements as follows:<br/>Unless there are provisions in the law, the employment contract or collective agreements which are more favorable to the employee, upon dismissal (except for serious misconduct), any employee is entitled to a notice period which shall be at least equivalent to the probationary period set out for that position. The notice period is increased by 5 days for each year of service with the same employer up to a maximum of 30 days (art. 61 CFA).<br/>_____________________<br/>La LRA ne précise pas la durée du congé/préavis. Toutefois l&apos;article 73-5 LRA dispose que &quot;le licenciement ouvre droit, pour le travailleur qui n’a pas commis de faute grave, à un délai- congé dont la durée minimale est fixée dans les accords ou conventions collectifs.&quot;<br/>La Convention collective de 2006 établit par ailleurs que &quot;Sauf dispositions plus favorables pour le salarié par le fait de la loi, des conventions et accords collectifs de travail ou du contrat de travail, le licenciement ouvre droit pour le salarié qui n&apos;a pas commis de faute professionnelle grave, à  un délai de préavis d&apos;une durée au moins égale à la durée de la période d&apos;essai fixée pour l&apos;emploi occupé.<br/>Le délai de préavis est augmenté de cinq (05) jours par année d&apos;ancienneté au service du même employeur, dans la limite de trente (30) jours&quot; (Article 67 CFA)"
Americas,Ecuador,2019,written,Y,Y,N,Y,N,
Europe,Estonia,2017,written,Y,N,N,N,N,"Art. 97(2)  ECA:<br/>The notice period to be given by the employer in the event of termination of employment (referred to &apos;extraordinary cancellation&apos;) varies according to the employee&apos;s length of service, as follows: <br/>1) less than one year of employment:  at least 15 calendar days;<br/>2) one to five years of employment: at least 30 calendar days;<br/>3) five to ten years of employment at least 60 calendar days;<br/>4) ten or more years of employment: at least 90 calendar days.<br/><br/>Note advance notice for terminating the employment of an employee during the probationary period must be at least 15 days (art 96 ECA).<br/>"
Africa,Egypt,2017,written,Y,N,N,Y,N,"As regards the termination of an open-ended employment contract,  either party shall observe a notice period which varies according to the employer&apos;s length of service as follows:<br/>- 2 months if the worker&apos;s uninterrupted period of service with the employer is less than 10 years, and<br/>- 3 months if that period exceeds 10 years (Art. 111 LL)."
Europe,Spain,2019,written,Y,N,N,N,N,"As a result of Law Act 35/2010, the notice period to be observed in the event of dismissal for an objective cause (e.g economic reasons, capacity-related reasons - see &apos;valid grounds&apos;) is now reduced to 15 days (instead of 30 days)  (see art. 53(1)c) ET)</b>.<br/>With respect to disciplinary dismissal, no notice is required.<br/><br/>"
