Region,Country,Year,"Compensation for unfair dismissal - free determination by court","Compensation for unfair dismissal - Legal limits (ceiling in months or calculation method)","Reinstatement available","Preliminary mandatory conciliation","Competent court(s) / tribunal(s)","Existing arbitration","Length of procedure","Length of procedure - unit","Statutory length of procedure","% of dismissals out of the total number of disputes","General remarks"
"Arab States","United Arab Emirates",2013,N,"Art. 123 FLLR.",N,Y,"labour court",N,1,year(s),,,
Asia,Afghanistan,2019,N,"The LC does not regulate compensation for unfair dismissal. The only provision regarding remedies for unfair dismissal is art. 132 according to which &quot;If the employee is dismissed illegally from job, and re-employed to the previous job after a decision of the Dispute Settlement Commission or a court decision, his/her wages and other benefits of dismissal period is paid as per average wage and other benefit of the last six months prior to dismissal&quot;.",Y,N,"ordinary courts",N,,,,,"Art. 132 LC refers to the reinstatement decision of the Dispute Settlement Commissions or the Court.<br/><br/>The LC states that the establishment and the composition of labour dispute settlement commission and the hearing of labour disputes  shall be regulated in accordance with the relevant legislative document. However, no information as to the existence of such regulation was found."
Americas,"Antigua and Barbuda",2018,Y,"See sec. B12 LC, as amended by sec. 6 of LCA: In an unfair dismissal or suspension without pay matter, a decisional officer may order the payment of a sum of money equal to loss of wages sustained and, in addition thereto he may also order the re-instatement or restoration of the person dismissed or suspended, <b>or the payment of a sum of money in lieu of such reinstatement</b>&quot;",Y,Y,"ordinary courts, administrative body",N,,,,46,"The Hearing Officer is competent to hear complaints of unfair dismissal  (upon referral by the Minister) and impose appropriate remedies (damages or reinstatement in addition to the payment of loss wages) (see. sec. B12, and C63 LC).<br/><br/>It should be noted that the Industrial Relations Court has jurisdiction over trade disputes (collective disputes) and does not generally have jurisdiction over individual disputes such as disputes concerning dismissal.<br/>However, according to sec. 10 ICA provides that  in addition to its jurisdiction, in any dispute concerning the dismissal of an employee, if in the opinion of the Court, an employee has been dismissed in circumstances that are harsh and oppressive or not in accordance with the principles of good industrial relations practice, it may order the re-employment or re-instatement of the employee and/or the payment of compensation or damages, or the payment of exemplary damages in lieu of such re-employment or re-instatement.<br/><br/>"
Europe,Armenia,2018,,,Y,N,"ordinary courts, administrative body",N,,,,,"Art. 264 LC"
Africa,Angola,2019,N,,Y,Y,"ordinary courts",Y,,,,,"Labour Courts have jurisdiction over all kind of labour disputes: art. 307 GLA."
Americas,Argentina,2018,N,,N,Y,"ordinary courts, administrative body",Y,,,,,"Art. 20, Organization and Procedures of National labour Justice, Act No. 18.345."
Europe,Austria,2019,Y,,Y,N,"ordinary courts, administrative body",Y,,,,,"Sec. 105(4) WCA and 50 (1) Labour and Social Court Act."
Asia,Australia,2019,N,"See s392 FWA on Remedy - compensation<br/><br/>",Y,Y,"ordinary courts, administrative body",Y,,,,,"Unfair dismissal disputes are decided by the Fair Work Commission (which is the national workplace relations tribunal) (sec. 385, 390 FWA)<br/><br/>Note that general protections dismissal applications (see prohibited grounds) can be brought to the FWC which must deal with the dismissal by mediation or conciliation. If it is satisfied that all reasonable attempts to resolve the dispute by mediation or conciliation have been or are likely to be unsuccessful ,it must issue a decision to refer the dispute to arbitration. If both parties agree, the FWC can then resolve the conflict by arbitration (sec. 369 FWA). Otherwise, the applicant can then make an application to an ordinary court to deal with the matter (Sec 370 FWA).<br/>A person cannot make a general protections dismissal application at the same time as an unfair dismissal application"
Europe,Azerbaijan,2019,Y,"Art. 290 and 300 LC",Y,N,"ordinary courts, administrative body",Y,,,,80,"Art. 296 LC"
Asia,Bangladesh,2019,Y,"The LA does not specify the powers of the Court with respect to awarding damages. Sec. 33(4) LA refers to the power of the Court to &quot;make such orders as it may deem just and proper&quot;. This includes awarding damages.<br/>",Y,N,"ordinary courts, administrative body",N,60,day(s),Y,,"Note that only workers who have been &quot;discharged&quot;, &quot;dismissed&quot; or &quot;retrenched&quot; (i.e. workers who have been dismissed on grounds of incapacity, misconduct or redundancy) can seek redress for grievance related to dismissal in the courts. <br/>Workers who have been &quot;terminated&quot; by simple notice (with no reason given) cannot challenge such termination in court unless they claim a breach of the requisite requirements (notice and severance pay) or allege that their termination was based on their trade union membership or activity (sec. 33(9) LA).<br/>- The worker must start a grievance procedure by submitting his/her complaint to the employer, in writing within 30 days of being informed the cause of such grievance. The employer has to inquire into the matter and inform the worker of his/her decision in writing within 15 days (sec. 33(1) &(2) LA ). <br/>- If the employer fails to give an answer or if the worker is not satisfied with the employer&apos;s statement, the worker can bring a complaint before the Labour Court within 30 days (sec. 33(3) LA). The Court shall issue a decision within 60 days following the filing of the case (sec. 216(11) LA).<br/>- Appeals against the court&apos;s decision  shall be lodged to the Labour Appellate Tribunal within 30 days of the court&apos;s order (sec. 33(6) LA)."
Europe,Belgium,2019,N,,N,N,"ordinary courts, administrative body",N,,,,,"Art. 578 of the Judiciary Code"
Africa,"Burkina Faso",2019,N,,Y,Y,"administrative body",N,,,,,"Art. 338 LC"
Europe,Bulgaria,2019,N,"Art. 225 (1) LC",Y,N,"administrative body",N,3,month(s),Y,,"Art. 344 (4) LC refers to district and regional courts."
Americas,Bolivia,2019,N,,Y,N,"ordinary courts, administrative body",N,,,,,"Article 6 of Labour Code Procedure provides that the special jurisdiction of labour and social security is exercised permanently:<br/><br/>a) By the Labour and Social Security Courts, as first instance courts;<br/>b) By the National Labour and Social Security Court, as the Court of Appeal; and<br/>c) By the Supreme Court of Justice in its Social and Administrative Chamber, as Court of Cassation.<br/><br/>"
Americas,Brazil,2019,N,,Y,Y,"administrative body",Y,6.5,year(s),,,"Art. 643-645 CLL: disputes arising out of labour and employment relations between employers and workers should be settled by the labour courts. The Superior Labour Court, Regional Labour Courts and Labour Courts of first instance or the courts of ordinary jurisdiction have jurisdiction. <br/>- The competence of Labour Courts was amplified by the Constitutional Amend No 45/2004. In localities which do not fall within the jurisdiction of the conciliation and arbitration boards, the judges of ordinary jurisdiction shall be responsible for the administration of justice in labour matters (art. 668 and 669 CLL)."
Africa,Botswana,2018,Y,,Y,N,"administrative body",N,,,,,"Competent court(s) / tribunal(s): Commissioner of Labour and Labour Court<br/><br/>Sec. 7 of the Trade Disputes Act provides for the referral of disputes to the Commissioner of Labour. Sec. 7(2) provides that an employee referring a dispute concerning termination of employment shall refer the dispute within 30 days of the date of such termination.<br/><br/>Sec. 24 of the Trade Disputes Act grants the Industrial Court jurisdiction to hear cases regarding the wrongful termination of contract or disciplinary action. As such, under sec. 24(1), in any case where the Court determines that an employee has been wrongfully dismissed or disciplined, the Court may, subject to its discretion to make any other order which it considers just- <br/>(a) in the case of wrongful dismissal, order reinstatement of the employee, with or without compensation, or order compensation in lieu of reinstatement<br/>"
Americas,"Canada (Federal only)",2012,N,"Sec. 242(4)a) CLC (see below).",Y,Y,"administrative body",Y,,,,,"Arbitration is the ordinary way of settling unjust dismissal cases.<br/>Note: civil remedies for wrongful dismissal are not addressed here.<br/>"
Africa,"Congo, Democratic Republic",2019,N,"Art. 63 LC.",Y,Y,"ordinary courts",N,,,,,"Art. 63 LC."
Africa,"Central African Republic",2019,Y,"Art. 156 LC:  The amount of damages for unfair dismissal is fixed by the Court, in light of any circumstances establishing the existence and the extent of the harm incurred, including the local custom, the type and importance of the services rendered, the employee&apos;s seniority and age, any deductions or payments made to a retirement plan, and other established rights.<br/>",Y,Y,"administrative body",N,,,,,"Art. 354 LC: Labour tribunals (Tribunaux du Travail) have jurisdiction over individual labour disputes arising from the employment contract, labour conditions, hygiene and safety conditions, social security regime."
Europe,Switzerland,2019,N,,N,N,"ordinary courts",Y,,,,,"Art. 34 du Code de procédure civile (2008)"
Africa,"Côte d'Ivoire",2019,N,"L&apos;article 18.15 du Code du travail dispose que &quot;toute rupture abusive du contrat donne lieu u00e0 des dommages et intu00e9ru00eats. (...) b) lorsque la responsabilitu00e9 incombe u00e0 l&apos;employeur, le montant des dommages et intu00e9ru00eats u00e9quivalant u00e0 un mois de salaire brut par annu00e9e d&apos;anciennetu00e9 dans l&apos;entreprise ne peut u00eatre infu00e9rieur u00e0 3 mois de salaire ni excu00e9der 20 mois de salaire brut&quot;. (...)<br/>____________<br/>In English:<br/>Art. 18.15 LC provides that &quot;any abusive breach of contract shall give rise to damages. (...) b) where the employer is liable, the amount of damages equivalent to one month&apos;s gross salary per year of service in the company may not be less than 3 months&apos; salary or more than 20 months&apos; gross salary. (...)",N,Y,"ordinary courts",N,,,,,"Art. 81.8 LC et seq"
Americas,Chile,2019,N,,Y,Y,"ordinary courts",N,,,,,"Art. 420 a) LC: &apos;Juzgados de Letras del Trabajo&apos;"
Africa,Cameroon,2019,N,"Art. 39 (4) LC reads as follows:<br/>&quot;... 4) Le montant des dommages-intu00e9ru00eats est fixu00e9 compte-tenu, en gu00e9nu00e9ral, de tous les u00e9lu00e9ments qui peuvent justifier lu2019existence et du00e9terminer lu2019u00e9tendue du pru00e9judice causu00e9 et notamment :a) lorsque la responsabilitu00e9 incombe au travailleur, de son niveau de qualification et de lu2019emploi occupu00e9 ; b) lorsque la responsabilitu00e9 incombe u00e0 lu2019employeur, de la nature des services engagu00e9s, de lu2019anciennetu00e9 des services, de lu2019u00e2ge du travailleur et des droits u00e0 quelque titre que ce soit. Toutefois, le montant des dommages-intu00e9ru00eats, sans excu00e9der un mois de salaire par annu00e9e du2019anciennetu00e9 dans lu2019entreprise, ne peut u00eatre infu00e9rieur u00e0 trois mois de salaire. (...)&quot;.<br/><br/>Art. 39 (5) LC reads as follows:<br/>&quot;...5) En cas de licenciement lu00e9gitime du2019un travailleur survenu sans observation par lu2019employeur des formalitu00e9s pru00e9vues, le montant des dommages-intu00e9ru00eats ne peut excu00e9der un mois de salaire.&quot;<br/>",N,Y,"administrative body",N,,,,,"Art. 131 and 133 LC"
Asia,China,2017,N,,Y,N,"ordinary courts",Y,,,,,"<u>Arbitration is mandatory in the event of an individual labour dispute.</u> <br/>The parties <b>can only go to court, if they do not agree with the arbitration outcome</b>, within 15 days from the date the award is communicated. See art. 5 and 50 of the Labor Dispute Mediation and Arbitration Law.<br/>"
Americas,Colombia,2019,N,,Y,N,"ordinary courts",Y,2.5,year(s),,,"According to Article 2 of Labour Procedure Code, the Ordinary Jurisdiction, in its labor and social security specialties, is competent to handle: <br/><br/>1. Legal conflicts that originate directly or indirectly in the employment contract.<br/>2. Actions on union jurisdiction, whatever the nature of the employment relationship.<br/>3. The suspension, dissolution, liquidation of unions and the cancellation of union registration.<br/>4. Disputes related to the provision of social security services that arise between affiliates, beneficiaries or users, employers and administering entities, except those of medical responsibility and those related to contracts<br/><br/>  <br/>"
Americas,"Costa Rica",2019,Y,"Art. 82 Labour Code provides that if a termination based on valid grounds is challenged in court and the employer fails prove the cause that founded the worker&apos;s dismissal, the worker shall have the right to be paid the amount of the prior notice, the unemployment assistance that may correspond, and, as well, severance pay and wages that would be received due to the termination of the contract until the date in which, in accordance with the legal terms to process and resolve, the conviction against the employer should have been final. The judge might also determine the payment of compensation for damages.<br/>",Y,N,"ordinary courts",Y,,,,,"Article 430 of Labour Code"
Americas,Cuba,2013,N,,N,N,"ordinary courts",N,,,,,"Article 250 of Labour Code provides that the labour disputes are submitted to the following bodies:<br/>    a) the labour councils, formed in the terms of Law 8/1977;<br/>    b) the popular courts of the Judicial System.<br/><br/>According to articles 11, 12 and 23 of Law 8/1977, the Labour Councils handle the conflicts that may arise between workers, or between them and the state administrations, regarding the recognition, granting or claiming of rights and the fulfillment of obligations arising from labor legislation; short-term social security applications and claims; and the application of disciplinary measures of labour order. The submission of the claim to Labour Councils is mandatory before the subsmission to an ordinary court (popular municipal courts). In this sense, the Labour Council will carry out procedures to handle the case and will dictate the resolution.<br/>The resolution of the Council will briefly record the facts and grounds on which it is based and the corresponding decision. If any of the parties expresses its disagreement with the resolution of the Council, it has the right to go to the Municipal People&apos;s Court.<br/><br/>According to article 254 of Labour Code and article 702 of Law on Civil, Administrative and Labour Procedure, the popular municipal courts know about:<br/>    a) workers&apos; claims about the rights and the fulfillment of the obligations emanating from labour and social security legislation in the short term, including maternity, when one of the parties shows its disagreement with the resolution of the work council;<br/>    b) Workers&apos; claims for non-conformity with the application of disciplinary measures and the consequent compensation for damages when these are modified, due to the exemption or other less severe measure being provided, except in the case of disciplinary conflicts subject to special procedures. ;<br/>    c) the claims of workers hired in the private and cooperative sectors about their labour rights and requests from their administrations about the application of disciplinary measures.<br/><br/><br/>"
Europe,Cyprus,2019,N,,Y,N,"ordinary courts",N,,,,,"Sec. 2 and 3 TEA.<br/>The Industrial Dispute Court has jurisdiction over cases of unfair dismissals (Proceedings must be initiated within 1 year from the date of dismissal).<br/>Alternatively, the employee may institute proceedings before the civil courts for breach of the employment contract (wrongful dismissal). They must be initiated within six years following the date of termination of employment.<br/>"
Europe,Czechia,2019,Y,"Sec. 69 (1) LC",Y,N,"ordinary courts",N,,,,,"Sec. 72 LC refers to the competent Court. No labour courts in the Czechia."
Europe,Germany,2017,N,"Sec. 10 PADA",Y,Y,"labour court",N,2.6,month(s),,53.1,"Sec. 4 PADA and sec. 2 of the Federal Labour Court Act , 1953 (as last amended in 2013)."
Europe,Denmark,2017,N,"Sec. 2b (1), (2) ESEA",Y,Y,"ordinary courts",Y,,,,,"The Labour Courts have jurisdiction over cases involving  workers covered by a collective agreement whereas ordinary Courts have jurisdiction over dismissal disputes involving  those not covered by a collective agreement.<br/><br/>In addition, special dismissal bodies have been set up by social partners for unfair dismissal cases for parties to collective agreements. Their decision can be appealed to ordinary courts. <br/>See Danielle Venn (2009), &quot;Legislation, collective bargaining and enforcement: Updating the OECD employment protection indicators&quot;, p. 30. Available at: http://www.oecd-ilibrary.org/social-issues-migration-health/legislation-collective-bargaining-and-enforcement_223334316804"
Africa,Algeria,2019,N,"Art. 73-4 LC.",Y,Y,"ordinary courts",N,,,,,"According to the Individual Labour Disputes Settlement Act, disputes regarding termination of employment are heard by the  tribunal competent over labour matters [le &quot;Tribunal siégeant en matiere sociale&quot;] (Art. 20 ILDSA). This tribunal shall comprise a judge and workers&apos; and employers&apos; representatives (art. 8 ILDSA).<br/>_____________<br/>L&apos;article 20 de la Loi 90-04 relative au règlement des conflits individuels de travail dispose que les tribunaux siégeant en matière sociale connaissent des différends individuels de travail nés à l&apos;occasion, notamment, de la rupture d&apos;une relation de travail."
Americas,Ecuador,2019,N,,Y,Y,"ordinary courts",Y,,,,,"According to Art. 568 of Labour Code - Jurisdiction and jurisdiction of labor judges.- Labour judges exercise provincial jurisdiction and have exclusive jurisdiction to hear and resolve individual conflicts arising from employment relationships, and which are not subject to the decision of another authority."
Europe,Estonia,2017,N,"Art. 109 ECA. There are statutory amounts of compensation for unfair dismissal (in lieu of reintegration). However, it is worth noting that such amounts (3 or 6 months&apos; wages depending on the categories of employees - see below) can be modified by the court or the labour dispute committee.",Y,N,"ordinary courts",N,,,,,"There are no specialized labour courts in Estonia. All labour disputes lie within the jurisdiction of general courts. Disputes relating to termination of employment shall be heard by the court or a labour dispute committee (arts. 105-109 ECA).<br/>Labour dispute committees are independent, extra-judicial individual labour dispute resolution bodies which are established within the local branches of the Labour Inspectorate. They are composed of three members: the chairperson of the labour dispute committee and representatives of employees and employers (arts. 10-11 ILDRA)"
Africa,Egypt,2017,N,"See art. 122 LC.",Y,Y,"ordinary courts",N,,,,,"See art. 70 and 71 LL as amended in 2008. Since 2008, the Committee in charge of settling individual labour disputes has been replaced by the Labour Court."
Europe,Spain,2019,N,"See art. 56(1) ET.",Y,Y,"ordinary courts",Y,,,,,"The Labour Courts  have jurisdiction over individual labour disputes arising from the employment contract. (see the Labour Procedure Law, art. 2(a); see also the specific provisions on dismissal: art. 103- 124 LPL).<br/>Complaints relating to both disciplinary and objective dismissal shall be lodged within 20 days of the dismissal (art. 103 and 121 LPL).<br/>The Labour Courts system is organized as follows: <br/>The labour courts (Juzgados de lo Social) are the court of first instance for labour disputes arising at the provincial level. The employment divisions of the higher courts (Sala de lo Social de los Tribunales Superiores de Justicia) have jurisdiction over labour disputes whose scope is greater than a province, but within a region (or autonomous community), and their judgments can be appealed. The employment division of the National Court (Sala de lo Social de la Audiencia Nacional) hears labour disputes whose scope is greater than an autonomous community. The employment division of the Supreme Court hears appeals of decisions of the employment divisions of the National Court and of the higher courts."
Africa,Ethiopia,2013,N,"Art. 43(4) LP.",Y,N,"ordinary courts",N,60,day(s),Y,,"The labour division of the regional first instance court has jurisdiction over claims related to termination of employment:  art. 138 1) a) LP."
Europe,Finland,2019,N,"See: sec. 2, chap. 12 ECA. <br/>",N,N,"ordinary courts",N,,,,,"In Finland, individual labour disputes over rights are heard by ordinary courts as apposed to disputes connected with collective agreements which are dealt with by labour courts. (See Act on the Labour Court 646/19974)<br/>"
Europe,France,2019,N,,Y,Y,"ordinary courts",N,12,month(s),,92.1,"Art. L 1411-1 LC. <br/>In case of dismissal, if no agreement is reached at the conciliation stage, the dispute may be submitted, with the agreement of the parties, to a restricted chamber (1 employer and 1 worker, instead of 2 each), which must take a decision within 3 months. Art. 1454-1-1 LC.<br/>The rules regarding the competent court are different in case of economic dismissals when the establishment of an employment safeguard plan is mandatory (dismissal of at least 10 employees over a 30-day period in companies with at least 50 employees). Administrative courts (and no longer labour courts) are competent for any dispute regarding the collective agreement or unilateral decision of the employer establishing the employment safeguard plan, as well as the plan itself, the lawfulness of the collective dismissal process and the decision of the administration to approve it. See art. L 1235-7-1 LC.<br/>The statute of limitations is normally set at 2 years on matters related to the execution of the employment contract and 12 months for disputes related to the termination of the employment contract, except in certain limited cases. See art L 1471-1 LC. In the case of an economic dismissal, it is set at 12 months, see art. 1235-7 LC.<br/>Art. L 1134-7 LC provides the possibility of a class action by a trade union in case of discrimination on the same ground against several employees of the same enterprise. Civil courts are competent for such actions."
Africa,Gabon,2019,Y,"Art. 75 LC (unfair dismissal).<br/>",Y,Y,"labour court",N,,,,,"Art. 318 LC."
Europe,"United Kingdom",2019,Y,"Section 123.1 Employment Rights Act states that: Subject to the provisions of this section and sections 124 [F1, 124A and 126] , the amount of the compensatory award shall be such amount as the tribunal considers just and equitable in all the circumstances having regard to the loss sustained by the complainant in consequence of the dismissal in so far as that loss is attributable to action taken by the employer. <br/><br/>New in 2013: As per the Enterprises and Regulatory Reform Act, 2013 (art. 15), the Secretary of State may propose the amendments to the art. 124 of the Employment Rights Act, so as to decrease or increase the amount of the compensation for unfair dismissal.",Y,Y,"labour court",Y,,,,,"Sec. 111 ERA: The Employment Tribunal Act has jurisdiction over complaints of unfair dismissal.<br/><b>New as of 6 April 2012</b> The Employment Tribunals Act 1996 (Tribunal Composition) Order 2012 added unfair dismissal to the kinds of claim which can be heard solely by an employment judge in the employment tribunal, rather than by three panel members as was previously required.<br/><br/>Alternatively employees may also sue employers for breach of contract/wrongful dismissal in civil courts. However civil courts do not have jurisdiction over claims of unfair dismissal as defined by the ERA."
Europe,Georgia,2019,Y,"Art. 38.8 LC states that if the court voids the employeru2019s decision for termination of the labour agreement, under the courtu2019s decision, the employer shall restore the person, whose labour agreement was terminated, to his/her original job or provide the person with an equal job or pay such a person the compensation in the amount fixed by the court.",Y,N,"labour court",Y,,,,,"Ordinary courts have jurisdiction over individual labour disputes."
Africa,Ghana,2020,Y,"Art. 64 (2) c) LA.",Y,N,"labour court",Y,,,,51.7,"Art. 64 LA. <br/>The competent body is the National Labour Commission. It shall exercise adjudicating and dispute settlement functions in complete independence (art. 138 LA). Moreover, in settling an industrial dispute, the Commission shall have the same enforcing powers as the High Court and enjoy the same privileges and immunities in regard to its proceedings (art. 139 LA).<br/>Art, 13(1) WA: “A whistleblower who honestly and reasonably believes that that whistleblower has been subjected to victimisation or learns of a likely subjection to victimisation because a disclosure has been made, may in the first instance make a complaint to the Commission on Human Rights and Administrative Justice”. <br/>"
Europe,Greece,2019,N,,Y,N,"labour court",N,,,,,"Complaints regarding the nullity of the dismissal shall be brought to the ordinary court within 3 months form the date to the dismissal (art. 6(1) of Act No. 3198/1955).Claimants must be heard within at most 60 days and cases must be settled by the courts after a maximum of 90 days after their submission to court, art. 621(3) Civil Procedure Code.<br/>Alternatively, if the employee decides to lodge a complaint to obtain severance pay, he/she shall do so within 6 months of the dismissal (art. 6(1) of Act No. 3198/1955).<br/><br/>"
Americas,Guatemala,2019,N,"Article 78 of Labour Code provides that the termination of the employment contract according to one or more of the causes listed in the preceding Article77, takes effect as soon as the employer communicates it in writing to the worker indicating the cause of the dismissal and the worker effectively ceases his work, but the worker has the right to challenge the employer before the Labor and Social Security Courts, before the statute of limitations expires, in order to prove the just cause on which the dismissal was founded. If the employer does not prove this cause, it must pay the worker:<br/>a) The indemnities that according to this Code may correspond to severance pay; and<br/>b) As damages, the wages that the worker has ceased to receive from the time of dismissal until the payment of the respective compensation, up to a maximum of twelve (12) months of salary and court costs.",Y,Y,"labour court",N,,,,,"Art. 283 of Labour Code provides that conflicts related to Labour and Social Security are subject to the exclusive jurisdiction of the Labour and Social Security Courts, who are responsible for judging and executing the judged."
Americas,Honduras,2019,N,"Article 113 provides the possibility of challenge the reasons of fair dismissal in a Labour Court. If the employer does not prove this cause, the worker is entitled to the respective severance pay, as well as damages and the wages that the worker would have received from the termination of the contract until the date a judicial decision determines the end of the contract. Moreover, the worker can request the reinstatement, at least on equal terms.",Y,Y,"labour court",N,,,,,"Arts. 666, 679 LC.<br/>First instance judges are the &quot;Juzgados de Letras del Trabajo&quot;.<br/>Appeals are heard by the &quot;Cortes de Apelaciones del Trabajo&quot;."
