Region,Country,Year,"Compensation for unfair dismissal - free determination by court","Compensation for unfair dismissal - Legal limits (ceiling in months or calculation method)","Reinstatement available","Preliminary mandatory conciliation","Competent court(s) / tribunal(s)","Existing arbitration","Length of procedure","Length of procedure - unit","Statutory length of procedure","% of dismissals out of the total number of disputes","General remarks"
Europe,Netherlands,2019,Y,"On compensation, see Art. 7:681 to 7:683 CC.<br/>In case of an unfair termination of a fixed term contract, a fixed compensation, equal to the amount of pay, the employee would have received if the contract would have been terminated in a regular way, can be requested, Art. 7:677 (4) CC. However, the court can decide to lower this sum with regards to the principle of reasonableness and fairness, but must at least grant 3 monthly wages<br/>An employee who has terminated an employment contract due to an u201curgent causeu201d(see above) provoked by the employer may also be entitled to a compensation, Art. 7:677 CC.<br/>",Y,N,"labour court",N,,,,,"No specialised court, ordinary courts have jurisdiction over labour disputes.<br/>"
Europe,Norway,2019,Y,"Art. 15-12(2) WEA states that employees may claim compensation if the dismissal is effected in violation of the provisions on protection against certain types of dismissal (including dismissal during the probationary period, unfair dismissal, dismissal in the event of sickness, dismissal during pregnancy .... (art. 15-6 to 15-11 WEA).<br/>Compensation shall be fixed at the amount the court deems reasonable in view of the financial loss, circumstances relating to the employer and employee and other facts of the case.",Y,N,"labour court",Y,,,,,"- Individual disputes (for instance dismissal and termination of employment) are handled by ordinary courts (alminnelige domstoler) according to Art 17-1 WEA, the Mediation and Civil Proceedings Act (No. 28 of 2012) and  the Courts of Justice Act (No. 5 of 1915). <br/><br/>- According to art. 17-4 WEA, the time period for claiming an unfair dismissal is eight weeks  from conclusion of the negotiation between the parties or from the date of the dismissal if no negotiations took place).<br/>- If an employee claims  compensation only, the time limit shall be six months. In individual cases, the parties may agree <br/>upon a longer time limit for initiating legal proceedings. If the dismissal does not meet the formal statutory requirements with regard to notice of dismissal, there is no time limit for such claims.<br/><br/>- In Norway, the National Labour Court&apos;s jurisdiction is essentially, confined to collective disputes of rights -- not to individual disputes. <br/>There are however, two exceptions: <br/>1)Individual workers (members of trade unions) and employers are liable in damages for breach of a collective agreement or of the peace obligation. Claims for indemnification in such cases lie within the Labour Court&apos;s jurisdiction (Sections 9 and 10 of the Labour Disputes Act);<br/>2)In addition, in a case concerning a collective agreement, the Labour Court may give a decision on individual claims being contingent on the decision given on the collective agreement issue at hand. Solely provided that this can be done without it being necessary to resolve further questions on evidence or legal problems in order to dispose of the individual claims. (Section 34 of the Labour Disputes Act (lov om arbeidstvister (arbeidstvistloven) )"
Asia,"New Zealand",2019,Y,"u2022There are no statutory limitations as to the amount of compensation to be awarded in the event of unfair dismissal.<br/>Sec. 123 ERA provides that if the Employment Authority or Court determines that a dismissal was unjustified, it may provide for any 1 or more of the following remedies: <br/>- reinstatement;<br/>- reimbursement of the whole or any part of the wages lost as a result of the dismissal;<br/>- compensation for humiliation, loss of dignity, and injury to the feelings of the employee; and loss of any benefit, whether or not of a monetary kind, which the employee might reasonably have been expected to have obtained had he or she not been dismissed.<br/><br/>Up-to-date figures for non-remuneration compensation are available at:   https://www.employment.govt.nz/about/employment-law/compensation-and-cost-award-tables/",Y,Y,"labour court",Y,,,,,"- The ERA gives exclusive jurisdiction to the Employment Relations Authority, an independent body, to make determination about personal grievances, which amongst other things include unfair dismissal claims (sec. 161(1)e) ERA). This provision removed the possibility for employees to pursue a claim for wrongful dismissal under civil law.<br/>- Either the employer or employee may challenge a determination of the Authority, within 28 days after the date of the determination, in the Employment Court. <br/>A challenge may relate to the whole of the determination (in which case, there will be a de novo hearing) or be restricted to some limited aspect of a determination (sec. 179 and 187 ERA)"
Americas,Panama,2018,N,"Art. 225 LC",Y,N,"labour court",Y,,,,,"Art. 218 LC: The Labour Tribunals and/or The Conciliation and Decision Boards (junta de conciliación y decisión,) have jurisdiction over claims of unfair dismissal.  The &quot;juntas de conciliación y decisión&quot; which are tripartite bodies and are integrated into the &quot;Jurisdiccion Laboral&quot;.<br/>"
Americas,Peru,2019,N,,Y,Y,"labour court",Y,,,,,"The New Labour Procedure Law [NLPL], establishes a hierarchy of courts to adjudicate labour disputes, consisting of the Magistrates Courts (Juzgados de Paz Letrados), the Labor Courts of First Instance (Juzgados de Trabajo), the Labour Branches of the High Court (Salas Laborales de la Corte Superior), and the Supreme Court (Corte Suprema). Dismissal cases are heard by the Labour Courts of First Instance (Juzgados de Trabajo).  The extinction of the working relationship is observed by Specialized Labour Court as indicated in art. 2 and 51 of the NLPL."
Asia,Philippines,2019,N,,Y,Y,"labour court",Y,20,day(s),Y,,"Regarding parties to a collective bargaining agreement, all grievances submitted to internal grievance machinery which are not settled within seven days from the date of its submission shall automatically referred to voluntary arbitration prescribed in the CBA (Art. 273).  For this purpose, parties to a CBA shall name and designate in advance a voluntary arbitrator or panel of voluntary arbitrators or include in the CBA a procedure for the selection of such voluntary arbitrator or panel of voluntary arbitrators, preferably from the listing of qualified voluntary arbitrators duly accredited by the National Conciliation and Mediation Board.  See also Art. 275: upon agreement of the parties, the designated voluntary arbitrator or panel of voluntary arbitrators shall also hear and decide all other labour disputes including unfair labour practices.  Voluntary arbitration awards, decisions or orders are subject to judicial review upon petition for review filed with the Court of Appeals within 15 calendar days from receipt of such awards, decisions or orders (Rule 43 of the Rules of Civil Procedure) <br/>The Labour Arbiters of the National Labour Relations Commission have original and exclusive jurisdiction over termination disputes (Art. 224 of LC).  The National Labour Relations Commission has exclusive appellate jurisdiction over all cases decided by Labour Arbiters (Art. 224(b) of LC).  Cases arising from the interpretation or implementation of CBAs and those arising from the interpretation or enforcement of company personnel policies shall be disposed of by the labour arbiter by referring the same to the grievance machinery and voluntary arbitration as may be provided in the said agreements (Art. 224(c)). According to Sale (2015), mostly non-unionized workers resort to compulsory arbitration by labour arbiters.  <br/>The DoLE Secretary and Regional Offices (enforcement offices/inspectorates) are charged with monitoring compliance with or enforcement of labour standards, including termination of employment requirements (Art. 128 of LC, sec. 1 of Rule IV of DO No. 131-B, Series of 2016.  When deficiencies detected by labour law compliance officers are not corrected, the hearing officer shall conduct mandatory marathon conferences during which parties may reach voluntary settlement, before the issuance of compliance orders (Rules XII and XIII of DO No. 131-B).  Cases related to termination of employment requirements include those arising from discrimination [Sale (2015)]    <br/>Regarding termination disputes in the public sector whether they arise from grievances, unfair labour practices, the Public Sector Labour Management Council takes appropriate action and has original and exclusive jurisdiction (sec. 16 of Executive Order No. 180)."
Europe,Portugal,2019,N,"Art. 391 and 392 LC.",Y,Y,"labour court",N,,,,,"The Labour courts have exclusive jurisdiction over dismissal cases (see Code of Labour Procedure and art. 387 LC).<br/><b>Any legal action challenging the regularity and the fairness of an individual dismissal shall be brought within 60 days of receipt of the dismissal decision or of the date of termination of the contract</b>. (<u>Note that under the 2003 LC, this timeframe was 1 year</u>). The Decree-Law 295/2009 of 13 October 2009 introduced in the Code of Labour Procedure, new proceedings of an urgent nature to be observed in the event of a legal action challenging an individual dismissal (art. 98-B to 98-P LC).<br/><br/>(Any action challenging collective dismissals must be lodged within 6 months of the date of termination of the contract: art. 388(2) LC)"
Americas,Paraguay,2019,N,,Y,Y,"labour court",Y,,,,,"Article 34 of Labour Procedure Code provides that The labor judges will be competent to handle: a) Contentious issues arising from the application of the Labor Code or the clauses of the individual contract or the apprenticeship contract, between workers or apprentices and employers; b) The controversies arisen between the pactantes subjects or adherents of a collective contract of conditions of work, with respect to the existence, interpretation or fulfillment of this one; c) The lawsuits on union recognition, promoted between an employer or employer organization and the unions of workers or between these exclusively, in order to celebrate a collective work contract; d) Any conflict between a Union and its affiliates derived from the breach of the bylaws or the collective contract of working conditions; and e) Disputes between workers, motivated by teamwork."
Europe,Romania,2019,Y,,Y,N,"labour court",N,10,day(s),Y,,"Based on Law No. 304/2004, specialised sections or panels for settling cases regarding labour disputes and social insurance were established at the tribunals and the courts of appeal.<br/>According to Art. 208 of the Law on Social Dialogue, individual labor disputes are resolved in the first instance by the tribunal."
Europe,"Russian Federation",2019,Y,"Article 394 of the Labour Code",Y,N,"labour court",N,,,,,"Article 391 of the Labour Court"
Africa,Rwanda,2019,N,"Art. 30 LL.",N,Y,"labour court",Y,,,,,
"Arab States","Saudi Arabia",2017,Y,"Art. 77 LL: &quot;If the contract is terminated for an invalid reason, the party who is harmed by such termination shall be entitled to indemnity to be assessed by the Commission for the Settlement of Labor Disputes, taking into account the termination circumstances and actual and potential material and moral damages sustained&quot;.",Y,Y,"labour court",Y,,,,,"Art. 77 LL & art. 210 to 228 LL on labour disputes settlement.<br/>The competent body is the Commission for the Settlement of Labour Disputes which is part of the judiciary. <br/>The Commission can only be seized after the amicable settlement before the labor office has failed.<br/>"
Europe,Sweden,2017,N,,Y,Y,"ordinary courts",Y,6,month(s),,,"The Labour Court has jurisdiction over labour disputes provided that the parties are bound by collective agreements and that they are members of an employers&apos; association or a trade union. If individual workers want to bring a case on their own, without support from their trade union or because they do not belong to a union, they can only do so in a district court. Note that in Sweden, around 70 % of workers are union members.<br/><br/>Ch. 2 sec. 1 of the Labour Disputes Act (1974:371): “The Labour Court shall, as a court of first instance, take up and determine any dispute where the action is brought by an employers’ or employees’ organisation, or by an employer who has concluded its own collective agreement, where the case involves:<br/>1. a dispute relating to a collective agreement or any other labour dispute referred to in the Employment (Co-determination in the Workplace) Act (1976:580); <br/>2. any other labour dispute, provided that a collective agreement is in force between the parties or that an individual employee who is affected by the dispute is employed for work covered by a collective agreement that is binding on the employer. <br/>The Labour Court is the competent court under the first paragraph even when a collective agreement is temporarily suspended. <br/>Any other labour dispute between the same or other parties may be consolidated with a labour dispute under the first or second paragraph, if the Court considers such processing appropriate having regard to the material presented and other circumstances. The Court may separate the cases again if there are grounds to do so. <br/>The Labour Court is always competent as a court of first instance to take up and determine disputes concerning industrial action referred to in Sections 41, 41b and 41c of the Employment (Co-determination in the Workplace) Act (1976:580)” (SFS 2010:230)<br/><br/>Ch. 2 sec. 2 of the Labour Disputes Act (1974:371): “Labour disputes other than those referred to in Section 1 shall be dealt with and determined by a district court. <br/>Actions referred to in Section 1 which are brought by an employer who has himself concluded a collective bargaining agreement, or by an employers&apos; or employees&apos; organisation on its own behalf, may be brought at a district court instead of the Labour Non-official translation Court. Where the defendant is an organisation, or where the dispute would have been commenced against an organisation under Chapter 4, Section 5, second paragraph, if the dispute had been commenced before the Labour Court, the foregoing shall apply only in accordance with such agreement as referred to in Chapter 10, Section 16 of the Code of Judicial Procedure. <br/>In a labour dispute under the first or second paragraph of this Section, the employer may be proceeded against at the court in the district in which the employee is resident (SFS 1977:530)”. <br/><br/>"
Asia,Singapore,2019,Y,"Sec. 14 (4) EA: If the Minister of Manpower considers the dismissal to be unfair, he may:<br/>1) order reinstatement and payment of wages the employee would have earned had he or she not been dismissed, or in lieu if reinstatement<br/>2) direct the employer to pay such amount of compensation as freely determined by the Minister. <br/><br/>",Y,N,"labour court",N,,,,,"An employee who considers that he or she has been summarily dismissed on the grounds of misconduct without just cause or excuse may, within one month of the dismissal and in writing, seek reinstatement (and/or compensation) from <b>the Minister of Manpower</b> (sec. 14 (2) EA. The decision of the Minister is final and cannot be challenged in any court (sec. 14(5), EA). <br/><br/><br/>"
Europe,Slovenia,2019,N,,Y,N,"labour court",Y,,,,,"Art. 200 ERA"
Europe,Slovakia,2019,Y,"See sec. 79 (1) and (2) LC.",Y,N,"labour court",Y,14,month(s),,,"Sec. 77 LC.<br/>Sec 9 LC."
Africa,Senegal,2019,Y,"Art. L56 LC",Y,Y,"labour court",N,,,,,"Art. L229 LC"
Americas,"El Salvador",2019,N,"Art. 58 LC.",N,Y,"ordinary courts",N,,,,,"Art. 369 LC - &quot;los jueces laborales&quot; in first instance and &quot;las Cámaras de lo Laboral&quot; in second instance."
"Arab States","Syrian Arab Republic",2013,N,,Y,N,"ordinary courts",Y,,,,,"Article 205 LL: A primary civil court shall be created in each governorate by decision of the Minister of Justice and shall consist of:<br/>1) A primary magistrate appointed by the Minister of Justice (chairman)<br/>2) A representative of the trade union association, appointed by the executive bureau of the GFTU (member).<br/>3) A representative of employers, appointed by the Federation of Chambers of Industry, Commerce, Tourism or Cooperatives (as the case may be) to examine labour disputes between workers and employers (member).<br/><br/>"
Asia,Thailand,2019,Y,"Art. 49 ALC: If the labour court rules that the dismissal was unfair but considers that the cooperation between employer and employee has been disrupted beyond repair, the court may fix an amount of damages as compensation to be paid by the employer in lieu of reinstatement by taking into consideration the age of the employee, the length of service, the hardship of the employee at the time of dismissal, the cause of the dismissal and the compensation the employee is entitled to receive.<br/><br/>",Y,Y,"ordinary courts",N,,,,,"- Disputes regarding termination of employment must be brought before a labour court (see arts. 8 and 49 ALC)<br/>- However, if an employee was dismissed following an unfair practice (i.e termination on the grounds of trade union activities or membership), he may file a complaint with the Labour Relations Committee within 60 days of the violation (art. 124 LRA).  This Committee will issue an award and an order within a further 90 days, The employee can also file a criminal complaint against the employer, but only after the Labour Relations Committee has passed an arbitration award and the employer has failed to comply with the Committee&apos;s order. (art. 127, LRA). An employer who violates the prohibition of termination of employment contained in the LRA (art. 121, 122 and 123 LRA on unfair practices) shall be liable to a term of imprisonment not exceeding 6 months and/or to a fine not exceeding ten thousands Baths (see arts. 158 and 159 LRA)<br/>[The Labour Relations Committee is established within the Ministry of Labour and Social Welfare (art. 8, LRA) to settle particular labour disputes with an award. It is composed of between eight and 14 members, three of whom must be employers&apos; representatives and three employees&apos; representatives (art. 37, LRA).]"
Europe,Tajikistan,2019,Y,"Art. 206 LC",Y,N,"ordinary courts",Y,,,,,
Europe,Turkmenistan,2019,Y,"Art. 56 LC",Y,N,"labour court",N,,,,,
Africa,Tunisia,2019,N,"See art. 23bis LC.",N,Y,"labour court",N,,,,,"A specialized labour court (Conseil de prud¿hommes) which is of tripartite composition has jurisdiction over individual labour disputes. Appeals against its decisions are heard by the ordinary Courts of Appeal (arts. 183 and 221 LC).<br/>__________<br/>Un Conseil de prud&apos;hommes spécialisé, de composition tripartite, est compétent pour les conflits individuels du travail. L&apos;appel des jugements des conseils de prud&apos;hommes rendus en premier ressort est porté devant les cours d&apos;appel (art. 183 et 221 du Code du travail)."
Europe,Türkiye,2019,N,,Y,Y,"labour court",Y,,,,,"Art. 20 LA: The employee who alleges that no reason was given for the termination of his employment contract or who considers that the reasons shown were not valid shall be entitled to lodge a complaint against that termination before the Labour Court within one month of receiving the notice of termination.<br/>See also the Labour Court Act (No. 5521 of 1950) which establishes jurisdiction of the labour courts over individual disputes arising from the individual employment contracts or any claims under the Labour Act."
Africa,"Tanzania, United Republic of",2019,N,"Art. 40(1)c) ELRA (see below: minimum 12 months&apos; pay).",Y,N,"ordinary courts",Y,,,,,"Where the mediator fails to resolve the complaint within the agreed upon period of time, it is referred to either arbitration or to the Labour Court (see art. 40 ELRA: remedies for unfair termination to be awarded by the Labour Court or an arbitrator). <br/>The Labour Court means the Labour Division of the High Court established under section 50 of the Labour Institutions Act, 2004 (art. 4 ELRA).<br/>The Labour Court  which has exclusive jurisdiction over the application, interpretation and implementation of provisions of the ELRA, may refuse to hear a complaint if the complaint has not been referred to mediation, if the mediation has not been conducted according to the ELRA, or if the application is not urgent (art. 94 ELRA)."
Europe,Ukraine,2019,Y,,Y,Y,"labour court",N,,,,,"Article 232 of the Labour Code"
Africa,Uganda,2019,N,"Free determination (not by the Labour Cout but) by the Labour Officer:<br/>Art. 78 EA provides that an order of compensation to an employee who has been unfairly terminated may include additional compensation at the discretion of the labour officer, while taking into consideration, a range of listed factors in each case.<br/><br/>Note: Labour officers in Uganda are legally empowered to engage in labour inspection activities including securing the enforcement of legal provisions relating to conditions of work, supplying technical information and advice to employers and employees and bringing to the notice of the Minister defects or abuses not specifically covered by existing legal provisions. According to the National Employment Policy for Uganda 2011, labour officers also arbitrate between workers and employers on undesirable working conditions. Much of a labour officeru2019s time (particularly at the district level) is devoted to dispute resolution at the expense of labour inspection activities. Source: ILO Labour Adminstration Dep.: https://www.ilo.org/labadmin/info/WCMS_209370/lang--en/index.htm",Y,N,"labour court",N,,,,,"- Pursuant to Art. 71(2) EA, a complaint of unfair termination shall be lodged to the labour officer within 3 months from the date of dismissal. The Labour officer is competent to order remedies for unfair dismissal (reinstatement or compensation)<br/>According to art. 91 EA, appeals against  the decisions of labour officer are heard by the Industrial Court.<br/>- Disputes concerning unjustified summary dismissals are heard by the labour officer, as provided in art. 70 EA.<br/>- In addition, any tort  claim arising out of the employment relationship shall be brought before ordinary courts. (art. 93(6) EA)<br/>"
Americas,"United States",2017,N,"The existence and the extent of compensatory damages for discriminatory dismissals depends on the applicable statutory provisions (see below).",Y,Y,"labour court",Y,120,day(s),Y,,"1) the Equal Employment Opportunity Commission (EEOC),  receives and investigates complaints of discrimination.  Where investigation reveals reasonable cause to believe that a complaint is true, the EEOC uses &quot;informal methods of conference, conciliation, and persuasion&quot; to eliminate the unlawful employment practice.  If no settlement is reached, the EEOC may either file a civil action in federal court or notify the complainant, who may, within 90 days of such notice, proceed to federal court ([CRA, Title VII, sec. 706], 42 U.S.C. sec. 2000e-5).<br/><br/>2)The National Labor Relations Board (the NLRB or the Board) receives and investigates complaints filed by unions, employers and workers.  If, upon investigation of the charge, a threshold of merit is found, the General Counsel may issue complaint.  A hearing is held pursuant to the complaint before an Administrative Law Judge (ALJ) regarding the allegations of the complaint, and the ALJ provides a recommended decision and order in the matter.  The decision of the ALJ becomes final unless exceptions are filed by either of the parties.  If exceptions are filed, the ALJ&apos;s decision is subject to review by the Board which issues a final order in the matter ([NLRA, sec. 10(c)],29 U.S.C sec. 160(c)).  A person aggrieved by a final order of the Board may obtain review of the order in a United States court of appeals in the appropriate circuit or in the United States Court of Appeals for the District of Columbia ([NLRA, sec. 10(f)], 29 U.S.C sec. 160(f)).<br/><br/>3)  Under the OSHA complaints shall be made to the Secretary of Labour who will investigate it. if merit is found, he or she will bring an action in federal court against the employer ([sec. 11(c)(2)], 29 U.S.C,  sec.  660(c)(2)).  <br/><br/>4) Under SOX, an employee who believes s/he has been discharged in violation of this subsection may file a complaint with the Secretary of Labor and, if no final decision is made on the complaint within 180 days, may bring an action in federal district court assuming the delay was not due to bad faith of the employee (18 U.S.C. sec. 1514A (b)(1))<br/><br/>5) Complaints alleging violation of the WARN Act are heard by the United States district courts (29 U.S.C sec. 2104)<br/><br/>In addition, the employee can bring common law actions based on contract or tort."
Americas,Uruguay,2019,N,,Y,Y,"labour court",N,,,,,"Juzgados Letrados del Trabajo de Montevideo y los Juzgados Letrados de Primera Instancia en el interior.<br/><br/>https://www.gub.uy/ministerio-trabajo-seguridad-social/politicas-y-gestion/derecho-reglamentacion-laboral/derecho-laboral-uruguayo/disposiciones-procesales"
Europe,Uzbekistan,2019,N,"Art. 112 LC<br/><br/>However, when awarded a compensation consists of: <br/>a compulsory payment during the period of forced absence ;<br/>compensation for the additional costs associated with the appeal of the termination of the contract or transfer (expert advice, the cost of case management, etc.);<br/>compensation of moral damages. The amount of compensation for moral damage is determined by the court with the assessment of the actions of the employer, but may not be less than the monthly salary of the employee. (Article 275 LC)",Y,N,"labour court",N,,,,,
Americas,"Venezuela, Bolivarian Republic of",2019,N,,Y,Y,"labour court",Y,,,Y,,"Art. 13 OLPL: labour jurisdiction is exercised by Labour Courts, in conformity with this law. <br/>_____________<br/>In Spanish:<br/>Artículo 13 OLPL: &quot;La jurisdicción laboral se ejerce por los Tribunales del Trabajo, de conformidad con las disposiciones de esta Ley.&quot;"
Asia,"Viet Nam",2012,N,,Y,N,"labour court",N,,,,,"Art. 166 LC"
"Arab States",Yemen,2013,N,,N,Y,"labour court",Y,40,day(s),Y,,"Labour disputes are first settled by the Arbitration Committee. Appeals of the committee&apos;s award are heard by the Labour Division of the competent Court of Appeal (see arts. 132, 140 LC)"
Europe,Serbia,2019,N,"Article 191 (1) provides that in case an employment relationship is terminated unlawfully, reinstatement and/or compensation might be determined by a court of law according to the follow criteria:<br/><br/>(1) If a court determines during the proceedings that the employeeu2019s employment relationship terminated unlawfully, the court shall, at the request of the employee, decide that the employee shall be reinstated, compensated for damage, and that his contributions for compulsory social insurance shall be paid for the period in which the employee has not been working. <br/>",Y,N,"ordinary courts, labour court",Y,6,month(s),Y,,"Article 21 of the Law on Organization of Courts (2002): the civil (municipal) court has jurisdiction to hear termination of employment disputes at first instance.<br/>According to Labour Law, articles 195 and 196, an employee or trade union empowered by the employee may initiate legal proceedings before a competent court against a decision violating the employee’s right or upon becoming aware of violation of such right, in 90 days to 3 years, depending on the subject of the claim. Labour disputes are inserted in the civil courts´jurisdiction, except when related to discrimination and mobbing, which shall be analysed by Higher Courts directly. Labour disputes in civil courts are subjected to specific regulations of Civil Procedure Act (Litigation Law)."
Africa,"South Africa",2019,N,"See sec. 194 LRA.",Y,Y,"ordinary courts",Y,,,,,"The LRA establishes an independent, tripartite Commission for Conciliation, Mediation and Arbitration (CCMA) [see below] and a Labour Court (Chapter VII of the LRA) which both have jurisdiction over disputes of unfair dismissals depending on the nature of those dismissals (see sec. 191 (5) LRA.)<br/>If conciliation fails, the dispute will be referred to <b>the Labour Court</b> for adjudication if  the employee has alleged that the reasons for dismissal are: <b>(i) automatically unfair (see prohibited grounds); (ii) based on the employer&apos;s operational requirements (includes economic reasons)</b>; (iii) the employee&apos;s participation in a strike; or (iv) because the employee refused to join, was refused membership of or was expelled from a trade union party to a closed shop agreement.<br/><br/>In addition, sec. 191(6) LRA states that the director of the Commission must refer the dispute to the Labour Court, if the director decides, on application by any party to the dispute, that to be appropriate after considering-<br/>(a) the reason for dismissal;<br/>(b) whether there are questions of law raised by the dispute;<br/>(c)  the complexity of the dispute;<br/>(d) whether there are conflicting arbitration awards that need to be resolved;<br/>(e) the public interest.<br/><br/>In the case of dismissals adjudicated by the Labour Court, an appeal against the decision of the Court is possible. Appeals from the Labour Court will be heard by the Labour Appeal Court. <br/><br/>Common law claims for breach of contract in the ordinary civil courts are also possible."
Africa,Zambia,2019,Y,"Sec. 85A ILRA: The Industrial Relations Court may award damages or compensation for loss of employment.<br/>See also sec. 108 ILRA on discriminatory dismissals and 5 (5) ILRA on dismissal in connection with trade union activities.",Y,N,"labour court",N,,,,,"See sec. 85 (4), 85A and 108 ILRA.<br/>The Industrial Relations Court has jurisdiction over matters specified under the ILRA, such as termination on the grounds of trade union membership or activity and on discriminatory grounds which shall be made within 30 days of the termination (sec. 108 ILRA).  <br/>According to sec. 85(4), ILRA, the court also has jurisdiction to &quot;hear and determine any dispute between any employer and an employee notwithstanding that such dispute is not connected with a collective agreement or other trade union matter&quot;. Complaints must be made within 30 days of the event complained of, unless leave is obtained (sec. 85 ILRA)."
